@id,@type,name,amenity,sport,@lat,@lon
2871325942,node,,,fitness,41.9333594,12.4713918
3418564518,node,,,fitness,41.8810042,12.4412828
3589538043,node,Il Girasole,,fitness,41.8216877,12.3153930
3604686575,node,,,fitness,41.7867188,12.4310114
4725841318,node,Il Chiodo Fitness Center,,fitness,41.4613880,12.9285357
5183590189,node,ASD Glissade,,fitness,42.1267806,12.0985061
5296311738,node,Fit and Go,,fitness,41.7877899,12.6723674
5353569033,node,,,fitness,41.9309040,12.4564750
6371988986,node,McFit,,fitness,41.8651431,12.4799550
6404607018,node,,,fitness,41.8870547,12.4452703
6790268308,node,,,fitness,41.8450130,12.6272520
7114418439,node,,,fitness,41.7661807,12.4828244
7138529219,node,,,fitness,41.7312235,12.3156124
7859168714,node,One Way Gym,,fitness,41.8699538,12.5300827
8123195389,node,,,fitness,41.9065822,12.4539781
8123195390,node,,,fitness,41.9065993,12.4541135
8309043405,node,Magic,,fitness,42.0248364,12.8043431
8334630646,node,,,fitness,41.9665898,12.5115999
8488823214,node,,,fitness,41.7328041,12.3140404
8637970457,node,,,fitness,42.0754770,12.2948725
9592955517,node,,,fitness,41.4743253,12.9049535
9788509826,node,,,fitness,41.7503998,12.7322740
10033933106,node,,,fitness,41.8483204,12.5616820
10033937601,node,,,fitness,41.8487922,12.5609828
10033937602,node,,,fitness,41.8489099,12.5613329
10135408567,node,,,fitness,41.9946966,12.4781625
10554438279,node,,,fitness,41.9165863,12.3731647
10554438280,node,,,fitness,41.9165129,12.3734705
10554438281,node,,,fitness,41.9164965,12.3733699
10655460090,node,,,fitness,41.8283653,12.4650782
10983696259,node,,,fitness,41.8799813,12.5514718
10983696260,node,,,fitness,41.8801195,12.5515337
10983696261,node,,,fitness,41.8806376,12.5517053
10983696262,node,,,fitness,41.8808028,12.5517719
10983696263,node,,,fitness,41.8810305,12.5518630
10983696264,node,,,fitness,41.8805217,12.5516698
10983696265,node,,,fitness,41.8804142,12.5516341
10983911713,node,,,fitness,41.9064208,12.6560289
10983911714,node,,,fitness,41.9062226,12.6563298
10983911715,node,,,fitness,41.9066298,12.6557677
10983911716,node,,,fitness,41.9068045,12.6555215
10983911717,node,,,fitness,41.9074417,12.6546437
10983911718,node,,,fitness,41.9072292,12.6549451
10983911719,node,,,fitness,41.9076670,12.6543323
10983911720,node,,,fitness,41.9079716,12.6538848
10983911725,node,,,fitness,41.9060083,12.6566122
11462900979,node,,,fitness,41.7925399,12.7592439
11462900980,node,,,fitness,41.7925858,12.7592564
11462900981,node,,,fitness,41.7926297,12.7592712
11462900982,node,,,fitness,41.7925852,12.7591952
11462900983,node,,,fitness,41.7925830,12.7591375
11462900984,node,,,fitness,41.7926146,12.7590850
11462900985,node,,,fitness,41.7925404,12.7590915
12115714401,node,,,fitness,41.7312278,12.3153361
12122770235,node,,,fitness,42.1584435,12.2342571
12122770259,node,,,fitness,42.1582350,12.2350561
12122770316,node,,,fitness,42.1579281,12.2357673
12123794025,node,,,fitness,42.1579098,12.2358077
12123794028,node,,,fitness,42.1578642,12.2357915
12123794037,node,,,fitness,42.1578002,12.2360271
12123794043,node,,,fitness,42.1577437,12.2360331
12123794044,node,,,fitness,42.1577016,12.2361100
12123794046,node,,,fitness,42.1576442,12.2362199
12123794049,node,,,fitness,42.1576188,12.2362503
12162017475,node,,,fitness,41.8752472,12.5835561
12167709925,node,,,fitness,41.8846579,12.4488462
12174506126,node,,,fitness,41.8800896,12.4588295
12438456540,node,Urban fitness,,fitness,41.9043640,12.4906799
12438456602,node,Icon,,fitness,41.9047214,12.4928709
13013265299,node,,,fitness,41.8871473,12.4445123
13234946826,node,,,fitness,41.4725008,12.9181333
234946270,way,,,fitness,41.8661819,12.5220187
321727401,way,,,fitness,41.9114900,12.4241695
346988323,way,,,fitness,41.8953377,12.4895130
430373554,way,,,fitness,41.8664516,12.5251159
430373555,way,,,fitness,41.8664412,12.5248663
430373556,way,,,fitness,41.8664354,12.5245089
430373557,way,,,fitness,41.8664324,12.5248672
430373558,way,,,fitness,41.8664535,12.5251660
430373559,way,,,fitness,41.8664507,12.5251403
430373560,way,,,fitness,41.8664302,12.5245089
430373561,way,,,fitness,41.8664405,12.5245060
430373562,way,,,fitness,41.8668522,12.5253083
430373563,way,,,fitness,41.8664369,12.5249665
430373565,way,,,fitness,41.8664332,12.5247090
430632943,way,Area Fitness,,fitness,41.8667400,12.5252575
913682409,way,,,fitness,41.4587888,12.9090432
981963346,way,,,fitness,41.8265880,12.4663714
1020151635,way,,,fitness,41.8868126,12.4934393
1313072485,way,,,fitness,41.8928554,12.5573544
1313304887,way,,,fitness,41.8944709,12.5545460
1347825547,way,,,fitness,41.6771463,12.6983797
1361236331,way,,,fitness,41.4507359,12.8746275
1370847933,way,,,fitness,41.8893091,12.5555161
1414914965,way,,,fitness,41.9257820,12.4611247
1443074774,way,,,fitness,41.9136695,12.5405814
